航班号,机号,目的地,计划起飞,起飞时间,状态,起飞跑道,停机位,机型
MU6841,B6923,临沂,7:25:00,7:32,到达,36L,261,A321
9C8815,B30EU,厦门,7:30:00,7:35,到达,36R,121,A321
MU9720,B5828,丽江,7:35:00,7:38,到达,36L,282,B737
H01147,B8235,桂林,7:20:00,7:41,到达,36L,227,A320
9C8897,B321G,重庆,7:40:00,7:45,到达,36R,120,A321
MF8514,B5386,泉州,7:45:00,7:46,到达,36R,523,B737
MU6807,B32KU,兰州,7:40:00,7:48,到达,36L,234,A321
MU5395,B1321,郑州,7:35:00,7:50,到达,36L,405,B737
H01201,B1001,贵阳,7:35:00,7:52,到达,36L,221,A321
MU2285,B8397,威海,7:40:00,7:54,到达,36L,224,A321
H01881,B226M,深圳,7:40:00,7:56,到达,36L,411,B787
H01217,B8407,西安,7:50:00,7:58,到达,36L,231,A321
FM9453,B5801,昆明,7:40:00,8:00,到达,36L,413,B737
9C8819,B321F,成都天府,7:50:00,8:02,到达,36L,341,A321
MU5635,B6330,厦门,7:50:00,8:03,到达,36L,409,A321
MU5683,B32AD,大连,7:55:00,8:05,到达,36L,274,A320
H01121,B1645,昆明,7:50:00,8:07,到达,36L,233,A321
9C8953,B303U,昆明,7:55:00,8:08,到达,36L,318,A320
MU9197,B658U,成都天府,8:00:00,8:08,到达,36L,290,C919
CZ3590,B6659,深圳,7:55:00,8:12,到达,36L,264,A321
CA1564,B8689,北京首都,7:55:00,8:14,到达,36L,238E,A330
MF8518,B20EK,厦门,8:10:00,8:17,到达,36L,114,B737
MU5101,B7365,北京首都,8:00:00,8:18,到达,36L,250,B777
9C8677,B6646,揭阳,8:05:00,8:20,到达,36L,126,A320
MU5421,B208P,重庆,8:00:00,8:22,到达,36L,237,B787
FM9331,B6085,深圳,8:05:00,8:24,到达,36L,229,A330
MU511,B8967,首尔,8:05:00,8:25,到达,36L,112,A330
FM9395,B1149,长沙,8:05:00,8:28,到达,36L,410,B737
MU5401,B32P8,成都双流,8:15:00,8:30,到达,36L,266,A321
MU5814,B1253,昆明,8:15:00,8:32,到达,36L,166,B737
H01223,B30EQ,南宁,8:00:00,8:34,到达,36L,226,A321
MU721,B919A,香港,8:15:00,8:36,到达,36L,101,C919
HU7602,B6527,北京首都,8:20:00,8:38,到达,36L,257,A330
FM851,B20D8,松山,8:15:00,8:40,到达,36L,102,B787
MU2152,B6540,西安,8:20:00,8:42,到达,36L,287,C919
MU5565,B32KP,珠海,8:25:00,8:44,到达,36L,415,A321
FM815,B1111,东京羽田,8:20:00,8:46,到达,36L,111,B787
FM9303,B1901,广州,8:30:00,8:48,到达,36L,268,B737
MU5385,B919G,武汉,8:30:00,8:50,到达,36L,271,C919
HU7320,B7616,海口,8:30:00,8:52,到达,36L,236,B737
MF8371,B5653,深圳,8:25:00,8:54,到达,36L,522,B737
MU6205,B327F,阿勒泰,8:30:00,8:56,到达,36L,604A,A320
MU6483,B32KH,昆明,8:40:00,8:58,到达,36L,115,A320
CZ8804,B8361,北京大兴,8:35:00,9:00,到达,36L,260,A330
FM9269,B5369,井冈山,8:50:00,9:02,到达,36L,403,B737
H02287,B8587,广州,8:40:00,9:04,到达,36L,408,B777
MU5229,B6926,太原,8:45:00,9:04,到达,36L,407,A321
FM9127,B5799,呼和浩特,8:45:00,9:07,到达,36L,285,B737
CZ3596,B2009,广州,8:50:00,9:09,到达,36L,259E,B777
MU5593,B2419,长春,8:55:00,9:11,到达,36L,235,A321
MU5663,B919F,厦门,9:00:00,9:13,到达,36L,286,C919
CA1590,B1085,北京首都,8:55:00,9:14,到达,36L,246,A350
MF8193,B20DV,呼和浩特,9:10:00,9:18,到达,36L,127,B737
ZH9510,B6937,深圳,9:05:00,9:20,到达,36L,228,A330
CZ6998,B1286,乌鲁木齐,9:00:00,9:23,到达,36L,273,B737
MU5333,B1049,深圳,9:00:00,9:24,到达,36L,414,A330
MU5103,B8226,北京首都,9:00:00,9:27,到达,36L,267,A330
MU5017,B6097,香港,9:10:00,9:29,到达,36L,109,A330
MU5631,B308X,哈尔滨,9:05:00,9:31,到达,36L,225,A320
FM9451,B206W,昆明,9:15:00,9:33,到达,36L,270,B737
MU5681,B657T,沈阳,9:15:00,9:35,到达,36L,288,C919
NX111,BMCC,澳门,9:15:00,9:37,到达,36L,113,A321
MU9195,B919E,重庆,9:10:00,9:38,到达,36L,342,C919
9C7685,B323H,成都双流,9:20:00,9:41,到达,36L,115,A321
H01177,B8315,三亚,9:20:00,9:43,到达,36L,222,A321
9C6401,B328H,西安,9:20:00,9:45,到达,36L,321,A320
MU5403,B7883,成都双流,9:15:00,9:46,到达,36L,256,B777
MU537,B8968,东京羽田,9:30:00,9:49,到达,36L,110,A330
MU5153,B32P6,北京首都,9:30:00,9:51,到达,36L,275,A321
MU2225,B8972,西安,9:25:00,9:52,到达,36L,240E,A330
FM9307,B5730,广州,9:30:00,9:52,到达,36L,608,B737
MU5323,B6925,长沙,9:45:00,9:56,到达,36L,246,A321
FM9115,B5833,天津,9:50:00,9:58,到达,36L,272,B737
MU5699,B32L8,乌鲁木齐,9:35:00,9:58,到达,36L,227,A321
H01883,B20EQ,深圳,9:45:00,10:02,到达,36L,603,B787
9C7755,B321H,太原,9:50:00,10:04,到达,36L,120,A321
CZ3576,B8363,深圳,9:55:00,10:05,到达,36L,238E,A330
MU9181,B659Z,成都天府,9:40:00,10:08,到达,36L,274,C919
FM817,B5396,澳门,10:05:00,10:10,到达,36L,102,B737
MU5309,B30CW,广州,10:00:00,10:12,到达,36L,406,A350
H01255,B32EA,乌鲁木齐,10:05:00,10:14,到达,36L,221,A320
MU5335,B5931,深圳,10:05:00,10:15,到达,36L,283,A330
MU5105,B6095,北京首都,10:00:00,10:17,到达,36L,230,A330
MF8502,B5632,厦门,10:10:00,10:19,到达,36L,121,B737
MU5513,B8978,青岛,10:10:00,10:22,到达,36L,263,A321
9C6495,B30D5,乌鲁木齐,10:15:00,10:24,到达,36L,114,A320
SC7616,B5627,烟台,10:10:00,10:26,到达,36L,231,B737
SC4660,B7086,青岛,10:15:00,10:29,到达,36L,233,B737
