,Column1,Column2,name
0,129 ,0 ,H7_1
1,290 ,82 ,S525
2,290 ,131 ,S524
3,290 ,181 ,S523
4,290 ,236 ,S522
5,290 ,285 ,S521
6,290 ,329 ,S520
7,290 ,371 ,S519
8,290 ,419 ,S518
9,290 ,470 ,S517
10,290 ,511 ,S516
11,290 ,558 ,S515
12,290 ,606 ,S514
13,290 ,655 ,S511
14,290 ,729 ,S510
15,290 ,804 ,S508
16,290 ,885 ,S506
17,290 ,960 ,S504
18,290 ,1039 ,S502
19,290 ,1116 ,S501
20,290 ,1211 ,S127
21,290 ,1288 ,S126
22,290 ,1365 ,S121
23,290 ,1436 ,S120
24,290 ,1506 ,S115
25,290 ,1563 ,S114
26,290 ,1631 ,S113
27,290 ,1801 ,S112
28,290 ,1946 ,L01_L20
29,290 ,2144 ,L01_L10
30,290 ,2303 ,S315
31,290 ,2384 ,S314
32,290 ,2461 ,S313
33,290 ,2529 ,L01_K1
34,214 ,2528 ,A_K1
35,219 ,2415 ,A_A2-1
36,158 ,2289 ,A_A2-2
37,213 ,2272 ,A_A2-3
38,215 ,2090 ,A_K2
39,287 ,2096 ,L01_K2
40,216 ,1801 ,A_H4
41,214 ,1471 ,A_K4
42,287 ,1469 ,L01_K4
43,215 ,1177 ,A_K5
44,287 ,1181 ,L01_K5
45,213 ,809 ,A_K6
46,215 ,446 ,A_K7
47,215 ,52 ,A_H7
48,0 ,1923 ,R18L_A2
49,0 ,2415 ,R18L_A1
50,0 ,3385 ,R18L_1
51,0 ,3503 ,R18L_H1
52,49 ,3504 ,H1_1
53,215 ,3278 ,A_H1
54,168 ,3380 ,H1_T1
55,-162 ,3508 ,B_H1
56,-326 ,3510 ,R18R_H1
57,-327 ,3345 ,R18R_H2
58,-165 ,3347 ,B_H2
59,-161 ,3206 ,B_B1
60,-164 ,2962 ,B_B2-1
61,-162 ,2781 ,B_B2-2
62,-86 ,2796 ,B_B2-3
63,-166 ,2595 ,B_H3
64,-162 ,2403 ,B_B3-1
65,-88 ,2422 ,B_B3-2
66,-239 ,2415 ,B_B7
67,0 ,2192 ,R18L_B3
68,-328 ,2174 ,R18R_B7
69,-164 ,1780 ,B_H4-1
70,-128 ,1809 ,B_H4-2
71,-161 ,1851 ,B_H4-3
72,0 ,1807 ,R18L_H4
73,-200 ,1754 ,B_H4-4
74,-329 ,1752 ,R18R_H4
75,-161 ,1712 ,B_H4-5
76,-162 ,911 ,B_H5
77,-160 ,1100 ,B_B4-1
78,-85 ,1086 ,B_B4-2
79,-232 ,1081 ,B_B8
80,-325 ,1389 ,R18R_C3
81,0 ,1364 ,R18L_B4
82,-410 ,1091 ,C_C3-1
83,-491 ,1089 ,C_D14
84,-444 ,1022 ,C_C3-2
85,-488 ,999 ,C_D15
86,-487 ,915 ,C_H5
87,-488 ,722 ,C_D16-1
88,-413 ,710 ,C_C4-1
89,-487 ,517 ,C_C4-2
90,-487 ,658 ,C_D16-2
91,-489 ,427 ,C_D17
92,-561 ,425 ,D_D17
93,-486 ,174 ,C_H6
94,-487 ,7 ,C_H7
95,-560 ,170 ,D_H6
96,-561 ,694 ,D_D16
97,-561 ,916 ,D_H5
98,-565 ,1006 ,D_D15
99,-560 ,1085 ,D_D14
100,-560 ,1294 ,S263
101,-489 ,1292 ,C_D13
102,-492 ,1490 ,C_D12
103,-564 ,1490 ,D_D12
104,-488 ,1580 ,C_D11
105,-562 ,1583 ,D_D11
106,-560 ,1662 ,D_D10
107,-488 ,1663 ,C_D10
108,-488 ,1756 ,C_H4
109,-492 ,1859 ,C_D9
110,-561 ,1860 ,S234
111,-491 ,2062 ,C_D8
112,-562 ,2064 ,D_D8
113,-489 ,2156 ,C_D7
114,-559 ,2150 ,D_D7
115,-489 ,2238 ,C_D6
116,-559 ,2236 ,D_D6
117,-490 ,2445 ,C_D5
118,-562 ,2447 ,S416
119,-492 ,2581 ,C_H3
120,-560 ,2584 ,S414
121,-417 ,2422 ,C_C2
122,-324 ,2581 ,R18R_H3
123,-414 ,2783 ,C_C1-1
124,-492 ,2817 ,C_D4
125,-488 ,3001 ,C_C1-2
126,-490 ,3078 ,C_D3
127,-565 ,3083 ,D_D3
128,-560 ,2815 ,S411
129,-485 ,3344 ,C_H2
130,-560 ,3343 ,D_H2
